"BAU","plus1","diff","year","SCC_j_1.5","SCC_j_3"
85647417073278,85647417073297.3,19.3125,189,1.15812786668908,0.0723774082526949
87733845567837.1,87733845567856.8,19.703125,190,1.16409141190789,0.0716906335867724
89867628105782.6,89867628105802.6,20,191,1.16416871998695,0.0706512869205891
92049776452412.2,92049776452432.5,20.296875,192,1.16398950682193,0.0696116669522491
94281323023887.7,94281323023908.3,20.609375,193,1.16444416091053,0.0686246991412487
96563321295397,96563321295418,21,194,1.16898004703052,0.0678887327453413
98896846217199.8,98896846217221.1,21.296875,195,1.16798601637829,0.0668431740723966
101282994638704,101282994638726,22,196,1.18871679832637,0.0670388627983207
103722885740728,103722885740751,23,197,1.22438362568323,0.0680447415869981
106217661476104,106217661476127,23,198,1.20628928638742,0.0660628559097069
108768487018774,108768487018797,23,199,1.18846235112061,0.0641386950579678
111376551221551,111376551221574,23,200,1.17089886809912,0.0622705777261824
114043067082699,114043067082723,24,201,1.20375124585046,0.0630854312126795
116769272221508,116769272221532,24,202,1.18596181857188,0.0612479914686208
119556429363021,119556429363045,24,203,1.16843528923338,0.0594640693870105
122405826832102,122405826832127,25,204,1.19913309650388,0.060137610626022
125318779057013,125318779057039,26,205,1.22866839444733,0.060721470923362
128296627082683,128296627082708,25.015625,206,1.16468009870581,0.0567208941772676
131340739093841,131340739093867,26,207,1.19262141226172,0.0572358100889452
134452510948227,134452510948254,27,208,1.22018863702411,0.0577060071845228
137633366720038,137633366720065,27,209,1.20215629263459,0.0560252496937115
140884759253826,140884759253853,27,210,1.1843904360932,0.0543934463045742
144208170729037,144208170729065,28,211,1.21010517097644,0.0547650663979892
147605113235394,147605113235422,28,212,1.19222184332655,0.0531699673766885
151077129359327,151077129359356,29,213,1.21655290135362,0.053464946391261
154625792781658,154625792781688,30,214,1.23990443487714,0.0536976361479019
158252708886760,158252708886790,30,215,1.22158072401689,0.0521336273280601
161959515383396,161959515383426,30,216,1.20352780691319,0.0506151721631651
165747882937469,165747882937500,31,217,1.2252664044108,0.0507789753093242
169619515816901,169619515816932,31,218,1.20715901912394,0.0492999760284701
173576152548873,173576152548905,32,219,1.22768436713701,0.0494080561513011
177619566589656,177619566589688,32,220,1.20954124841085,0.0479689865546613
181751567007274,181751567007306,32,221,1.19166625459197,0.0465718316064672
185973999177240,185973999177273,33,222,1.21074465521967,0.0466283508195819
190288745491609,190288745491643,34,223,1.22899890364141,0.0466420690751922
194697726081605,194697726081639,34,224,1.2108363582674,0.0452835622089245
199202899554063,199202899554098,35,225,1.22802876092028,0.045257700665687
203806263741974,203806263742009,35,226,1.20988055263082,0.0439395152094048
208509856469361,208509856469397,36,227,1.22605770287711,0.0438785727472559
213315756330795,213315756330832,37,228,1.2414924741777,0.0437839048448885
218226083485792,218226083485830,38,229,1.25620327569572,0.0436575277907574
223243000468400,223243000468437,37,230,1.20506925591759,0.0412705295926935
228368713012235,228368713012273,38,231,1.21934846824307,0.0411514070984611
233605470891285,233605470891324,39,232,1.23294244909203,0.0410042124895243
238955568776751,238955568776791,40,233,1.2458683330474,0.0408306820906391
244421347110244,244421347110284,40,234,1.22745648576099,0.0396414389229506
250005192993642,250005192993683,41,235,1.23954965310838,0.0394490047534217
255709541095918,255709541095959,41,236,1.22123118532846,0.0383000046149725
261536874577256,261536874577298,42.03125,237,1.23344643177548,0.0381197506268782
267489726030785,267489726030828,43.03125,238,1.24413041299089,0.0378899892541316
273570678442259,273570678442303,44,239,1.25333907258313,0.0376145587846221
279782366168020,279782366168065,44.9375,240,1.26112683775648,0.0372970925724615
286127475931586,286127475931630,44,241,1.21656829584133,0.0354553292342559
292608747839215,292608747839260,45,242,1.22583012344066,0.0352049826906777
